address,latitude,longitude
"184 Bedok North Road MSCP, Deck 4 [White Lots]",1.326094625653773,103.9413859007857
"305 Woodlands Street 31 MSCP, Deck 4 [White Lots]",1.430361458355665,103.7741024141189
"34A Marsiling Drive MSCP, Deck 5A [White Lots]",1.444627548928298,103.7722628812854
"351 Canberra Road MSCP, Deck 5A [White Lots]",1.451188912605801,103.8203051002992
"473A Pasir Ris Drive 6 MSCP, Deck 4B [White Lots]",1.374265726411928,103.9565954944097
"507 Tampines Central 1 MSCP, Deck 4A [White Lots]",1.355185652955473,103.9459252010055
"512A Serangoon North Avenue 4 MSCP, Deck 5A [White Lots]",1.370960432111373,103.8751059870642
"640 Hougang Avenue 8 Surface, [Lot 295-304]",1.371321491125556,103.8797557051604
"644 Ang Mo Kio Ave 4 Surface, [Lot 79-104]",1.379149862284871,103.8409381991294
"653 Punggol Drive Basement, Deck B1 [Lots 189 - 198]",1.397912616812873,103.9201185653038
"70 Bedok South Road Surface, [Lot 176-185]",1.31996943548307,103.9428186303299
"712A Ang Mo Kio Avenue 6 MSCP, Deck 4D [White Lots]",1.370872843131908,103.8468069418764
"879C Tampines Avenue 8 MSCP, Deck 6A [White Lots]",1.351192681565536,103.9287282206286
"910 Tampines Street 91 Surface, [Lot 249-267]",1.349816628883988,103.9387421611238
"Amara Singapore, Basement 3 [Lot 257-259/263-264]",1.274927658382625,103.8435495305616
Compassvale,1.385415594504446,103.8929860781822
North,1.462371181468095,103.8124518968123
"PLQ Entrance Park Place Residences Basement, Level B1a [Blue Zone & Pillar A ...",1.315836753636183,103.8927466484271
Ang Mo Kio,1.365820895043816,103.842847772078
"Lyf Bugis Hotel, L3 [Lot 27-31] (not Singapore Pools Parking)",1.300916397145841,103.85150646656
"Suntec Carpark A - B2 Season Lane, Row 60 Lobby B [Lot 5531–5535] (Green Zone)",1.29485990186642,103.860333693777
