route_key,distance_km,duration_min
"1.391688,103.896130|1.315510,103.860953",13.25,21.7
"1.315510,103.860953|1.301014,103.838361",3.79,7.5
"1.404278,103.902304|1.428231,103.837450",13.06,21.8
"1.404278,103.902304|1.439750,103.800721",17.46,25.1
"1.404278,103.902304|1.442630,103.805856",17.52,25.3
"1.404278,103.902304|1.447687,103.815497",18.62,26.9
"1.404278,103.902304|1.420259,103.838566",12.6,21.0
"1.404278,103.902304|1.426536,103.830669",13.22,22.8
"1.404278,103.902304|1.396967,103.879439",3.77,8.4
"1.404278,103.902304|1.396793,103.888437",2.69,6.6
"1.404278,103.902304|1.356735,103.870114",9.03,19.1
"1.404278,103.902304|1.329941,103.903301",10.8,17.4
"1.404278,103.902304|1.315510,103.860953",14.19,23.0
"1.424294,103.835696|1.428231,103.837450",0.53,1.7
"1.424294,103.835696|1.439750,103.800721",6.3,12.0
"1.424294,103.835696|1.442630,103.805856",5.86,11.9
"1.424294,103.835696|1.447687,103.815497",4.33,8.9
"1.424294,103.835696|1.420259,103.838566",0.83,2.4
"1.424294,103.835696|1.426536,103.830669",1.51,4.0
"1.424294,103.835696|1.396967,103.879439",10.49,18.0
"1.424294,103.835696|1.396793,103.888437",10.61,18.3
"1.424294,103.835696|1.356735,103.870114",13.24,21.4
"1.424294,103.835696|1.329941,103.903301",19.74,29.2
"1.424294,103.835696|1.315510,103.860953",16.75,24.1
"1.343330,103.944372|1.428231,103.837450",22.07,33.7
"1.343330,103.944372|1.439750,103.800721",26.47,37.0
"1.343330,103.944372|1.442630,103.805856",26.54,37.2
"1.343330,103.944372|1.447687,103.815497",27.64,38.8
"1.343330,103.944372|1.420259,103.838566",21.61,32.9
"1.343330,103.944372|1.426536,103.830669",22.23,34.8
"1.343330,103.944372|1.396967,103.879439",12.79,20.4
"1.343330,103.944372|1.396793,103.888437",11.67,19.8
"1.343330,103.944372|1.356735,103.870114",12.22,23.1
"1.343330,103.944372|1.329941,103.903301",6.25,13.1
"1.343330,103.944372|1.315510,103.860953",11.08,17.2
"1.302318,103.824973|1.428231,103.837450",21.25,30.6
"1.302318,103.824973|1.439750,103.800721",21.35,31.9
"1.302318,103.824973|1.447766,103.832223",23.8,35.7
"1.302318,103.824973|1.442630,103.805856",22.06,33.2
"1.302318,103.824973|1.447687,103.815497",23.84,35.4
"1.302318,103.824973|1.420259,103.838566",20.79,29.9
"1.302318,103.824973|1.426536,103.830669",21.41,31.7
"1.302318,103.824973|1.396967,103.879439",16.64,24.7
"1.302318,103.824973|1.396793,103.888437",17.75,26.4
"1.302318,103.824973|1.356735,103.870114",11.41,18.0
"1.302318,103.824973|1.378962,103.937241",20.43,32.4
"1.302318,103.824973|1.360323,103.953130",20.22,27.4
"1.302318,103.824973|1.329941,103.903301",12.64,20.4
"1.302318,103.824973|1.315510,103.860953",6.03,11.3
"1.434576,103.836621|1.428231,103.837450",1.19,4.3
"1.434576,103.836621|1.439750,103.800721",5.5,11.0
"1.434576,103.836621|1.447766,103.832223",2.42,6.2
"1.434576,103.836621|1.442630,103.805856",5.05,10.9
"1.434576,103.836621|1.447687,103.815497",3.53,8.0
"1.434576,103.836621|1.420259,103.838566",2.37,5.8
"1.434576,103.836621|1.396967,103.879439",11.93,21.3
"1.434576,103.836621|1.396793,103.888437",12.05,21.6
"1.434576,103.836621|1.356735,103.870114",14.68,24.7
"1.434576,103.836621|1.378962,103.937241",18.3,27.1
"1.434576,103.836621|1.360323,103.953130",22.08,32.7
"1.434576,103.836621|1.329941,103.903301",21.18,32.5
"1.434576,103.836621|1.315510,103.860953",18.19,27.3
"1.336487,103.851122|1.428231,103.837450",15.44,24.7
"1.336487,103.851122|1.439750,103.800721",19.84,28.0
"1.336487,103.851122|1.447766,103.832223",18.0,29.7
"1.336487,103.851122|1.442630,103.805856",19.91,28.2
"1.336487,103.851122|1.447687,103.815497",21.0,29.8
"1.336487,103.851122|1.420259,103.838566",14.98,23.9
"1.336487,103.851122|1.396967,103.879439",10.84,18.7
"1.336487,103.851122|1.396793,103.888437",11.95,20.4
"1.336487,103.851122|1.356735,103.870114",4.71,10.8
"1.336487,103.851122|1.378962,103.937241",15.51,25.4
"1.336487,103.851122|1.360323,103.953130",15.3,20.4
"1.336487,103.851122|1.329941,103.903301",7.72,13.3
"1.336487,103.851122|1.315510,103.860953",4.68,9.6
"1.377687,103.893998|1.428231,103.837450",15.05,25.8
"1.377687,103.893998|1.439750,103.800721",19.44,29.1
"1.377687,103.893998|1.447766,103.832223",14.69,30.6
"1.377687,103.893998|1.442630,103.805856",19.51,29.2
"1.377687,103.893998|1.447687,103.815497",20.61,30.9
"1.377687,103.893998|1.420259,103.838566",14.59,25.0
"1.377687,103.893998|1.396967,103.879439",4.35,10.2
"1.377687,103.893998|1.356735,103.870114",5.63,13.7
"1.377687,103.893998|1.378962,103.937241",7.96,13.8
"1.377687,103.893998|1.360323,103.953130",11.75,19.4
"1.377687,103.893998|1.329941,103.903301",7.22,15.0
"1.377687,103.893998|1.315510,103.860953",9.02,17.8
"1.352274,103.872103|1.428231,103.837450",14.29,23.3
"1.352274,103.872103|1.439750,103.800721",18.68,26.6
"1.352274,103.872103|1.442630,103.805856",18.75,26.8
"1.352274,103.872103|1.447687,103.815497",19.85,28.4
"1.352274,103.872103|1.420259,103.838566",13.83,22.5
"1.352274,103.872103|1.396967,103.879439",6.04,12.9
"1.352274,103.872103|1.360323,103.953130",13.89,21.4
"1.352274,103.872103|1.329941,103.903301",5.47,11.8
"1.352274,103.872103|1.315510,103.860953",4.58,9.8
"1.343594,103.953541|1.428231,103.837450",23.11,33.8
"1.343594,103.953541|1.439750,103.800721",27.51,37.1
"1.343594,103.953541|1.447766,103.832223",25.67,38.9
"1.343594,103.953541|1.442630,103.805856",27.58,37.3
"1.343594,103.953541|1.447687,103.815497",28.67,38.9
"1.343594,103.953541|1.420259,103.838566",22.65,33.0
"1.343594,103.953541|1.396967,103.879439",13.83,20.5
"1.343594,103.953541|1.360323,103.953130",2.65,6.5
"1.343594,103.953541|1.329941,103.903301",8.04,14.5
"1.343594,103.953541|1.315510,103.860953",12.2,18.6
"1.301014,103.838361|1.428231,103.837450",19.96,28.3
"1.301014,103.838361|1.439750,103.800721",24.36,31.6
"1.301014,103.838361|1.447766,103.832223",22.52,33.4
"1.301014,103.838361|1.442630,103.805856",24.43,31.8
"1.301014,103.838361|1.447687,103.815497",25.52,33.4
"1.301014,103.838361|1.420259,103.838566",19.5,27.5
"1.301014,103.838361|1.360323,103.953130",18.94,25.1
"1.301014,103.838361|1.329941,103.903301",11.36,18.1
"1.301014,103.838361|1.315510,103.860953",4.74,9.0
"1.307221,103.861810|1.428231,103.837450",18.98,28.9
"1.307221,103.861810|1.439750,103.800721",23.38,32.2
"1.307221,103.861810|1.447766,103.832223",21.54,34.0
"1.307221,103.861810|1.442630,103.805856",23.45,32.4
"1.307221,103.861810|1.447687,103.815497",24.55,34.0
"1.307221,103.861810|1.420259,103.838566",18.52,28.1
"1.307221,103.861810|1.360323,103.953130",14.0,21.9
"1.307221,103.861810|1.329941,103.903301",6.48,13.9
"1.301892,103.864141|1.428231,103.837450",19.76,29.8
"1.301892,103.864141|1.439750,103.800721",24.16,33.1
"1.301892,103.864141|1.447766,103.832223",22.32,34.9
"1.301892,103.864141|1.442630,103.805856",24.23,33.3
"1.301892,103.864141|1.447687,103.815497",25.32,34.9
"1.301892,103.864141|1.420259,103.838566",19.3,29.0
"1.301892,103.864141|1.360323,103.953130",14.57,20.9
"1.431238,103.779712|1.428231,103.837450",8.84,18.1
"1.431238,103.779712|1.439750,103.800721",3.11,7.2
"1.431238,103.779712|1.447766,103.832223",7.04,14.7
"1.431238,103.779712|1.442630,103.805856",3.81,8.5
"1.431238,103.779712|1.447687,103.815497",5.26,11.2
"1.431238,103.779712|1.420259,103.838566",9.42,19.1
"1.350117,103.849763|1.428231,103.837450",10.52,21.3
"1.350117,103.849763|1.447766,103.832223",13.08,26.4
"1.350117,103.849763|1.447687,103.815497",13.89,28.0
"1.350117,103.849763|1.420259,103.838566",10.06,20.5
"1.370561,103.854823|1.447687,103.815497",11.88,24.5
"1.360323,103.953130|1.315837,103.892747",11.03,16.0
"1.336487,103.851122|1.426536,103.830669",15.61,25.7
"1.315837,103.892747|1.439750,103.800721",23.88,31.6
"1.315837,103.892747|1.447766,103.832223",22.04,33.4
"1.315837,103.892747|1.442630,103.805856",23.95,31.8
"1.315837,103.892747|1.420259,103.838566",19.02,27.5
"1.315837,103.892747|1.426536,103.830669",19.64,29.4
"1.315837,103.892747|1.396967,103.879439",10.65,21.6
"1.315837,103.892747|1.396793,103.888437",11.26,22.7
"1.315837,103.892747|1.356735,103.870114",5.93,13.5
"1.315837,103.892747|1.378962,103.937241",10.57,19.4
"1.315837,103.892747|1.360323,103.953130",10.36,14.4
"1.315837,103.892747|1.329941,103.903301",2.85,6.4
"1.315837,103.892747|1.315510,103.860953",4.73,8.6
"1.315837,103.892747|1.428231,103.837450",19.48,28.3
"1.315837,103.892747|1.447687,103.815497",25.04,33.4
"1.352274,103.872103|1.426536,103.830669",14.45,24.3
"1.352274,103.872103|1.396793,103.888437",7.02,14.3
"1.343594,103.953541|1.426536,103.830669",23.27,34.9
"1.343594,103.953541|1.396793,103.888437",12.71,19.9
"1.377687,103.893998|1.426536,103.830669",15.21,26.8
"1.301014,103.838361|1.426536,103.830669",20.12,29.4
"1.307221,103.861810|1.426536,103.830669",19.14,30.0
"1.301892,103.864141|1.426536,103.830669",19.92,30.9
"1.320245,103.869118|1.428231,103.837450",18.21,28.6
"1.320245,103.869118|1.439750,103.800721",22.61,31.9
"1.320245,103.869118|1.447766,103.832223",20.77,33.7
"1.320245,103.869118|1.442630,103.805856",22.67,32.1
"1.320245,103.869118|1.447687,103.815497",23.77,33.7
"1.320245,103.869118|1.426536,103.830669",18.37,29.7
"1.370561,103.854823|1.447766,103.832223",11.07,22.9
"1.431238,103.779712|1.396967,103.879439",17.61,24.6
"1.431238,103.779712|1.396793,103.888437",17.72,24.9
"1.431238,103.779712|1.356735,103.870114",20.35,28.0
"1.431238,103.779712|1.378962,103.937241",23.97,30.4
"1.431238,103.779712|1.329941,103.903301",25.51,33.2
"1.431238,103.779712|1.315510,103.860953",20.72,28.8
"1.431238,103.779712|1.360323,103.953130",27.75,36.0
"1.350117,103.849763|1.396967,103.879439",9.41,17.5
"1.350117,103.849763|1.396793,103.888437",10.53,19.2
"1.350117,103.849763|1.329941,103.903301",9.01,16.9
"1.350117,103.849763|1.315510,103.860953",6.03,11.9
"1.350117,103.849763|1.378962,103.937241",13.99,27.0
